"CensusYear","County and City","Private households (Number)","Persons in private households (Number)","Average number of persons in private households (%)"
"2011","State","1654208","4510409","2.73"
"2011","Carlow","19436","54187","2.79"
"2011","Dublin City","208008","499659","2.4"
"2011","Dún Laoghaire-Rathdown","75819","202594","2.67"
"2011","Fingal","93146","271958","2.92"
"2011","South Dublin","90019","263723","2.93"
"2011","Kildare","70763","208522","2.95"
"2011","Kilkenny","33679","94342","2.8"
"2011","Laois","28020","79751","2.85"
"2011","Longford","14453","38986","2.7"
"2011","Louth","43972","122339","2.78"
"2011","Meath","62201","184336","2.96"
"2011","Offaly","26750","76274","2.85"
"2011","Westmeath","30739","84869","2.76"
"2011","Wexford","52652","144349","2.74"
"2011","Wicklow","47798","135259","2.83"
"2011","Clare","42648","115587","2.71"
"2011","Cork City and Cork County","188019","512300","2.72"
"2011","Kerry","53306","140975","2.64"
"2011","Limerick City and County","69649","187560","2.69"
"2011","Tipperary","58497","158089","2.7"
"2011","Waterford City and County","42335","112261","2.65"
"2011","Galway City","27726","70918","2.56"
"2011","Galway County","60952","172308","2.83"
"2011","Leitrim","12308","31556","2.56"
"2011","Mayo","48070","128492","2.67"
"2011","Roscommon","23672","63311","2.67"
"2011","Sligo","24525","63667","2.6"
"2011","Cavan","25818","72625","2.81"
"2011","Donegal","57964","159139","2.75"
"2011","Monaghan","21264","60473","2.84"
"2016","State","1702289","4676648","2.75"
"2016","Carlow","20537","56609","2.76"
"2016","Dublin City","211747","525229","2.48"
"2016","Dún Laoghaire-Rathdown","78601","213468","2.72"
"2016","Fingal","96812","292989","3.03"
"2016","South Dublin","92523","277168","3"
"2016","Kildare","73596","220923","3"
"2016","Kilkenny","34855","97536","2.8"
"2016","Laois","29107","83534","2.87"
"2016","Longford","15122","40775","2.7"
"2016","Louth","45448","127751","2.81"
"2016","Meath","64234","194400","3.03"
"2016","Offaly","27343","77755","2.84"
"2016","Westmeath","31813","87887","2.76"
"2016","Wexford","54289","148331","2.73"
"2016","Wicklow","49211","140978","2.86"
"2016","Clare","43469","116920","2.69"
"2016","Cork City and Cork County","195853","535042","2.73"
"2016","Kerry","54493","141596","2.6"
"2016","Limerick City and County","71224","192184","2.7"
"2016","Tipperary","59276","158933","2.68"
"2016","Waterford City and County","43549","114402","2.63"
"2016","Galway City","28859","74376","2.58"
"2016","Galway County","63040","177145","2.81"
"2016","Leitrim","12452","31721","2.55"
"2016","Mayo","48899","127767","2.61"
"2016","Roscommon","24013","63684","2.65"
"2016","Sligo","24831","63656","2.56"
"2016","Cavan","26899","75285","2.8"
"2016","Donegal","58505","157276","2.69"
"2016","Monaghan","21689","61328","2.83"
"2022","State","1841152","5046681","2.74"
"2022","Carlow","22238","61546","2.77"
"2022","Dublin City","225685","560493","2.48"
"2022","Dún Laoghaire-Rathdown","85128","230782","2.71"
"2022","Fingal","107846","325642","3.02"
"2022","South Dublin","100364","298125","2.97"
"2022","Kildare","82793","246285","2.97"
"2022","Kilkenny","36787","102286","2.78"
"2022","Laois","31232","90499","2.9"
"2022","Longford","16229","43920","2.71"
"2022","Louth","49424","138449","2.8"
"2022","Meath","72977","220042","3.02"
"2022","Offaly","28923","82142","2.84"
"2022","Westmeath","34087","94663","2.78"
"2022","Wexford","59389","161526","2.72"
"2022","Wicklow","54211","153794","2.84"
"2022","Clare","46553","124129","2.67"
"2022","Cork City and Cork County","211362","575441","2.72"
"2022","Kerry","58317","150149","2.57"
"2022","Limerick City and County","76472","206192","2.7"
"2022","Tipperary","62232","166458","2.67"
"2022","Waterford City and County","47778","125355","2.62"
"2022","Galway City","30901","80918","2.62"
"2022","Galway County","68021","190961","2.81"
"2022","Leitrim","13630","34808","2.55"
"2022","Mayo","52114","135129","2.59"
"2022","Roscommon","26021","69079","2.65"
"2022","Sligo","26855","68189","2.54"
"2022","Cavan","28845","80749","2.8"
"2022","Donegal","61780","164501","2.66"
"2022","Monaghan","22958","64429","2.81"
